Dates,Open,High,Low,Close,Volume
2019-11-08,699259.67400000,702826.55100000,659948.13600000,665847.14343000,62107.28924300
2019-11-09,665847.90234000,673912.08000000,662139.86808000,668554.93431000,29469.48140500
2019-11-10,668537.47938000,694189.39629000,664046.25000000,686014.41777000,34422.02979700
2019-11-11,686066.78256000,688507.43712000,654080.24388000,662776.59357000,44888.05354500
2019-11-12,662783.42376000,674519.20800000,650203.73160000,669505.84854000,40366.62947100
2019-11-13,669503.57181000,671255.13609000,660403.48200000,666104.41392000,26810.11691800
2019-11-14,666136.28814000,667840.80000000,651342.09660000,656205.19188000,33468.46896100
2019-11-15,656182.42458000,667081.89000000,637484.40000000,642928.06143000,46087.41775100
2019-11-16,642919.71342000,648336.81300000,637484.40000000,644391.99882000,20902.29975200
2019-11-17,644370.74934000,655318.78500000,633741.45588000,645255.63840000,27009.03708200
2019-11-18,645291.30717000,645340.63632000,611681.46000000,621332.51847000,43017.69094000
2019-11-19,621281.67150000,623720.04933000,607355.67300000,617270.07324000,43556.06102500
2019-11-20,617284.49253000,627185.23239000,610042.21440000,614566.07691000,32466.23098000
2019-11-21,614607.81696000,617352.79443000,569182.50000000,578876.81634000,58418.78026100
2019-11-22,578880.61089000,588155.25000000,515299.89000000,551593.24293000,126603.14025900
2019-11-23,551593.24293000,557379.93168000,537309.03891000,554882.35887000,50449.89475500
2019-11-24,554846.69010000,556310.62749000,520688.15100000,523896.82248000,67890.20648300
2019-11-25,523665.35493000,559900.27179000,494429.86500000,539552.37687000,119645.73519700
2019-11-26,539584.25109000,557039.94000000,532563.57468000,543086.62074000,65722.39769000
2019-11-27,542981.13225000,580945.60500000,519094.44000000,569829.09132000,92452.87349000
2019-11-28,569782.03890000,580034.91300000,558557.76000000,563072.51559000,56933.98110900
2019-11-29,562998.90132000,595744.35000000,558732.30930000,587372.05488000,60745.30087300
2019-11-30,587471.47209000,592708.71000000,564704.93100000,572361.57399000,46989.43361900
2019-12-01,572265.95133000,572358.53835000,547174.11000000,560902.03299000,60769.34231300
2019-12-02,560948.32650000,563153.71896000,542704.13010000,553570.20348000,46330.25604000
2019-12-03,553580.82822000,561593.40000000,549553.29285000,553451.05461000,33149.47748700
2019-12-04,553451.05461000,588155.25000000,536321.69700000,545984.13912000,83147.14914200
2019-12-05,546004.62969000,568044.13500000,542620.65000000,560758.59900000,59306.67885500
2019-12-06,560758.59900000,576014.96673000,554383.75500000,571267.22577000,48189.08794400
2019-12-07,571292.26980000,578260.58142000,566917.91256000,568287.74511000,31498.68417300
2019-12-08,568219.44321000,574039.52400000,559685.50026000,569949.75801000,29856.89763100
2019-12-09,569949.75801000,580566.15000000,551955.24300000,556936.72824000,46621.88749300
2019-12-10,556936.72824000,562170.17160000,543159.47610000,548246.44983000,49723.76214000
2019-12-11,548247.96765000,552144.97050000,540773.46306000,547174.11000000,30093.09194400
2019-12-12,547174.11000000,553624.84500000,537331.04730000,546269.48928000,42288.60093200
2019-12-13,546245.20416000,554691.11355000,545713.96716000,550853.30568000,27609.87379500
2019-12-14,550769.06667000,551861.89707000,532147.69200000,536097.81855000,29561.98596700
2019-12-15,536104.64874000,546437.96730000,531870.68985000,540236.91369000,26395.77813700
2019-12-16,540313.56360000,542620.65000000,518790.87600000,523019.52252000,43863.99305900
2019-12-17,522998.27304000,526851.25911000,497844.96000000,502688.32362000,53865.06992900
2019-12-18,502689.84144000,564629.04000000,488358.58500000,552321.79653000,95636.65125100
2019-12-19,552321.79653000,560075.58000000,534144.38421000,542643.41730000,55509.04907500
2019-12-20,542720.06721000,547933.02000000,537270.33450000,545491.60653000,32132.06920500
2019-12-21,545505.26691000,545700.30678000,539205.55500000,541311.53025000,19467.17402800
2019-12-22,541223.49669000,570589.51914000,540531.37077000,569291.78304000,39137.45515000
2019-12-23,569236.38261000,584010.08358000,551411.86344000,555301.27719000,68051.99720300
2019-12-24,555317.21430000,564377.08188000,543154.92264000,550647.64107000,43629.49418800
2019-12-25,550647.64107000,551861.89707000,541016.31426000,546766.57533000,27492.04432300
2019-12-26,546795.41391000,564249.58500000,543160.99392000,546566.98200000,36259.76107600
2019-12-27,546566.98200000,552172.29126000,537036.59022000,550569.47334000,33642.70186100
2019-12-28,550571.75007000,558937.97391000,549349.90497000,555229.18074000,26848.98219900
2019-12-29,555169.98576000,571341.59895000,553093.60800000,560700.92184000,31387.10608500
2019-12-30,560715.34113000,562218.74184000,547933.02000000,549906.18600000,29605.91178200
2019-12-31,549906.18600000,555522.12000000,542241.95391000,546053.19993000,25954.45353300
2020-01-01,546053.95884000,550589.20500000,544529.30865000,546479.70735000,16792.38816500
2020-01-02,546473.63607000,547363.83750000,525525.44334000,528634.69761000,31951.48393200
2020-01-03,528618.00159000,561972.85500000,521450.09664000,557416.35936000,68428.50045100
2020-01-04,557419.39500000,561896.96400000,551895.28911000,558110.76201000,29987.97497700
2020-01-05,558116.83329000,568803.04500000,555370.33800000,558462.89625000,38331.08560400
2020-01-06,558378.65724000,591596.14794000,557552.96316000,588762.37800000,54635.69531600
2020-01-07,588830.67990000,622889.04288000,586160.07561000,618153.44448000,91171.68466100
2020-01-08,618202.01472000,641658.40500000,597262.17000000,611376.37818000,112622.64264000
2020-01-09,611280.75552000,611374.86036000,588155.25000000,593297.62416000,64239.51983000
2020-01-10,593296.10634000,622230.30900000,582235.75200000,622080.04482000,82406.77744800
2020-01-11,622219.68426000,628858.62894000,607367.81556000,608646.57891000,54810.03266700
2020-01-12,608646.57891000,622078.52700000,604092.36000000,621166.31718000,38131.49433600
2020-01-13,621165.55827000,622002.63600000,611369.54799000,615501.81294000,31159.75568300
2020-01-14,615501.81294000,673912.08000000,615137.53614000,668600.46891000,120399.12674200
2020-01-15,668951.84424000,676680.58368000,649930.52400000,669465.62631000,84816.29760600
2020-01-16,669359.37891000,672379.84071000,651600.12600000,661770.27891000,51991.07428400
2020-01-17,661780.90365000,686179.86015000,658160.14404000,676437.73248000,70897.73737700
2020-01-18,676436.97357000,682175.09208000,668324.98458000,676641.12036000,38294.74654500
2020-01-19,676575.09519000,698119.79118000,642493.20600000,660380.71470000,70676.88925900
2020-01-20,660382.23252000,663817.81809000,646688.46048000,655876.58385000,38896.63974600
2020-01-21,655876.58385000,667005.99900000,644162.80800000,662986.05273000,36494.68765900
